,TimeStamp,Challengee,Street,City,Witnesses
80,2021-05-04-06:23:49,112XTwrpTBHjg4M1DWsLTcqsfJVZCPCYW2vNPJV7cZkpRg3JiKEg,Chantecler Dr,Fremont,25
81,2021-05-04-06:13:12,112tezZ9GdWzgL6iywv12PHDGKspP1Y8W5WEPxpTWmXqbDwWqFxK,Estee Ct,San Jose,25
82,2021-05-04-05:51:02,11tggfHdFetBnP2Bs33ZvjUeKKDgi62yjyx32QXkpbrvnPmEz83,Duval Way,Los Altos Hills,5
83,2021-05-04-04:47:03,112Eatc1hsGLNP5HESRsMWfG3m8nwUssoVXfWHFDwP6AritdT9by,Fairfax Way,South San Francisco,25
84,2021-05-03-11:30:34,112b8kisLJtVfUBWvRdF8Gj2wCFumyjhnxoZ8XYfU3gXDsWUovqS,Wellington Dr,Milpitas,11
85,2021-05-03-11:17:03,112Y1dj9ci9aeqVFrRW3CuT6MjSFZq5N9jxh2ZSdQActakSc22Da,,San Jose,20
86,2021-05-03-11:09:25,112Cggcbje3yS4a1YpfyVNt1B2DTYNqiFjwaNEvfJp6fhc8UPuLc,Tucker Dr,San Jose,25
87,2021-05-03-07:48:14,112cFi5netyKB499AeEGv9wTkffiKqUrwcLYGeFQev37iAnofT1D,Rogers Ave,San Jose,25
88,2021-05-03-03:22:54,1125svmynCEX5229fcvxoVE4DwkXgq4rxRbmfbXFSHD5VHXnQ4Dq,Junction Ave,San Jose,12
89,2021-05-03-01:23:02,11Z1dwhMZkbMn5cVX1ew4EAEkMx3CdjYAAqBDWsxiydJQzbYLzP,Lindy Pl,Cupertino,25
90,2021-05-03-08:02:04,112Y1dj9ci9aeqVFrRW3CuT6MjSFZq5N9jxh2ZSdQActakSc22Da,,San Jose,25
91,2021-05-03-07:47:30,11vFDs9VoSorBb22hJAQ2yjX7x5QEmXLGhmDpciQfn91G2nLn5n,Chestnut St,Philadelphia,22
92,2021-05-03-04:40:57,11tggfHdFetBnP2Bs33ZvjUeKKDgi62yjyx32QXkpbrvnPmEz83,Duval Way,Los Altos Hills,4
93,2021-05-03-04:08:52,112GhVcWHvtk2FgQoqEtvRdedeBZy8JhqmCPCydXJTDksf3avXnj,Clydelle Ave,San Jose,25
94,2021-05-03-03:48:32,114VvEadECxmrrF4ccY3ai2XQzGdikovfJwBJEAsMuX8Wg9iWAR,Pillow Rd,Sunset Valley,1
95,2021-05-03-02:39:46,11mZTeDngwnBnwy8ozZHCjdu1GADLYrz6yp3suLAUGeggpDoAKY,Rogers Ave,San Jose,25
96,2021-05-03-02:29:10,11sQFWaEAoKPdHE3RtgqZPARfWuNP1zrXHQ4UnZaAgsRYL9iMfa,Hostetter Rd,San Jose,19
97,2021-05-02-11:34:15,112J4FWWDkdPZADSaB7wNHbJZivwnzKqB2JybE3sPoieUn8ZGW7G,Belhaven Falls Dr,Ocoee,1
98,2021-05-02-11:15:54,11QiuhXzY9AqvMGqTdbUtbirdmpZy4nxspv4W7FykgMFD9SPzkT,Oakland Rd,San Jose,1
99,2021-05-02-11:10:51,1125svmynCEX5229fcvxoVE4DwkXgq4rxRbmfbXFSHD5VHXnQ4Dq,Junction Ave,San Jose,11
100,2021-05-02-10:55:54,11YniP9EZgRmxdNy4iHEFZAWjpjvxQHc137ch4E7hU1LR5Mv7D9,Creekline Dr,Cupertino,17
101,2021-05-02-09:34:39,11Z1dwhMZkbMn5cVX1ew4EAEkMx3CdjYAAqBDWsxiydJQzbYLzP,Lindy Pl,Cupertino,25
102,2021-05-02-09:32:59,112DjmiN7LQLCfwbrbMGVLfHMTVG2tq9iYTkf2gdChEWkmhCooEF,Wistaria Ln,Los Altos,18
103,2021-05-02-08:23:17,112txR2wh5aYriMKUcURtcDDVTbwNy8iVMrTs1AQbmHFjPeuSNb,Canton Dr,Milpitas,22
104,2021-05-02-08:14:29,11tggfHdFetBnP2Bs33ZvjUeKKDgi62yjyx32QXkpbrvnPmEz83,Duval Way,Los Altos Hills,3
105,2021-05-02-07:55:41,11H8cjxUtx9WzCxPkbVq3AKzSYh7Wo5yWnPXLrf8eygiKt6hHVP,Culbertson Dr,Cupertino,25
106,2021-05-02-07:25:44,112YWEDhqBGDwnVsuCujvA8sg1cxTL4g9jZAY7PbTii7YPZcyNDm,Crown Ridge Common,Fremont,25
107,2021-05-02-07:05:44,11sQFWaEAoKPdHE3RtgqZPARfWuNP1zrXHQ4UnZaAgsRYL9iMfa,Hostetter Rd,San Jose,19
108,2021-05-02-06:56:17,112Wp8YrWx9eaofYh3TBo2nLuFHp61fH6VxvvZreGL2MMn1Pkp9V,Molinaro St,Santa Clara,10
109,2021-05-02-06:09:03,1125svmynCEX5229fcvxoVE4DwkXgq4rxRbmfbXFSHD5VHXnQ4Dq,Junction Ave,San Jose,8
110,2021-05-02-06:07:57,11tggfHdFetBnP2Bs33ZvjUeKKDgi62yjyx32QXkpbrvnPmEz83,Duval Way,Los Altos Hills,4
111,2021-05-02-04:41:45,118u3FejHUUf76dNzJjw9RApEqVL5dV5czvHnJaBMadPX66PV2P,Millar Ave,Santa Clara,25
112,2021-05-02-03:45:50,1125svmynCEX5229fcvxoVE4DwkXgq4rxRbmfbXFSHD5VHXnQ4Dq,Junction Ave,San Jose,9
113,2021-05-02-02:25:28,112iReK7K7YjZ7CxAiksViP7afXvGFFeeZvq29QpMxQ2w4XPQYs9,Wachusett Ave,Arlington,4
114,2021-05-02-01:59:44,112tezZ9GdWzgL6iywv12PHDGKspP1Y8W5WEPxpTWmXqbDwWqFxK,Estee Ct,San Jose,24
115,2021-05-02-01:59:44,11mZTeDngwnBnwy8ozZHCjdu1GADLYrz6yp3suLAUGeggpDoAKY,Rogers Ave,San Jose,25
116,2021-05-02-12:28:34,112tezZ9GdWzgL6iywv12PHDGKspP1Y8W5WEPxpTWmXqbDwWqFxK,Estee Ct,San Jose,25
117,2021-05-02-12:02:12,112Eatc1hsGLNP5HESRsMWfG3m8nwUssoVXfWHFDwP6AritdT9by,Fairfax Way,South San Francisco,13
118,2021-05-02-11:51:25,1125svmynCEX5229fcvxoVE4DwkXgq4rxRbmfbXFSHD5VHXnQ4Dq,Junction Ave,San Jose,13
119,2021-05-02-11:24:38,11sQFWaEAoKPdHE3RtgqZPARfWuNP1zrXHQ4UnZaAgsRYL9iMfa,Hostetter Rd,San Jose,25
120,2021-05-02-10:36:08,112cFi5netyKB499AeEGv9wTkffiKqUrwcLYGeFQev37iAnofT1D,Rogers Ave,San Jose,25
121,2021-05-02-09:33:44,112PbofDmvsS25gNxVeqzY1ggBog2r2WBng2k7BSWz4JUQknVoYW,High Glen Dr,San Jose,25
122,2021-05-02-05:53:05,1125svmynCEX5229fcvxoVE4DwkXgq4rxRbmfbXFSHD5VHXnQ4Dq,Junction Ave,San Jose,10
123,2021-05-01-10:09:43,11KniyuFsHPqBN36B2dNpYngjavE6Hv6KfwVS8vGwLZDA53uSj2,Hiltibrand Dr,San Jose,16
124,2021-05-01-09:36:09,11tggfHdFetBnP2Bs33ZvjUeKKDgi62yjyx32QXkpbrvnPmEz83,Duval Way,Los Altos Hills,4
125,2021-05-01-07:11:12,112cFi5netyKB499AeEGv9wTkffiKqUrwcLYGeFQev37iAnofT1D,Rogers Ave,San Jose,25
126,2021-05-01-05:05:48,118u3FejHUUf76dNzJjw9RApEqVL5dV5czvHnJaBMadPX66PV2P,Millar Ave,Santa Clara,25
127,2021-05-01-03:13:17,112VT8H38APtTtYmaNFSmbnHzTh4ea8r7752n7bKFBCsQuutCJ83,Grove St,Denver,8
128,2021-05-01-01:04:11,1125svmynCEX5229fcvxoVE4DwkXgq4rxRbmfbXFSHD5VHXnQ4Dq,Junction Ave,San Jose,10
129,2021-05-01-12:47:55,112cFi5netyKB499AeEGv9wTkffiKqUrwcLYGeFQev37iAnofT1D,Rogers Ave,San Jose,24
130,2021-05-01-11:26:18,114CVckhMwZpzW96XGM5z7cqyd2w2fjRResw6M5koTFqjg8GMFZ,O'Farrell St,SF,9
131,2021-05-01-10:54:09,112cFi5netyKB499AeEGv9wTkffiKqUrwcLYGeFQev37iAnofT1D,Rogers Ave,San Jose,25
132,2021-05-01-09:52:49,118u3FejHUUf76dNzJjw9RApEqVL5dV5czvHnJaBMadPX66PV2P,Millar Ave,Santa Clara,16
