,TimeStamp,Challengee,Street,City,Witnesses
26,2021-05-07-09:14:23,11mZTeDngwnBnwy8ozZHCjdu1GADLYrz6yp3suLAUGeggpDoAKY,Rogers Ave,San Jose,25
27,2021-05-07-08:10:55,11B7Xj9fXVbFxTqST5hKrZEKsdPd1TSumSRpyadiS37AdbkjB8x,Barton Way,Menlo Park,6
28,2021-05-07-08:07:06,118u3FejHUUf76dNzJjw9RApEqVL5dV5czvHnJaBMadPX66PV2P,Millar Ave,Santa Clara,25
29,2021-05-07-08:05:26,112NPL81M5k79HreKvYR4wDmjMG2bda2s4mzSp3sEjvmPoP4RhjT,Everglades Park Dr,Fremont,14
30,2021-05-07-08:05:26,11DaahkWU8uRxskuqjnvn8nTBQTCYhr3mJvv2VWrpijh3fYty24,Sunnyvale Saratoga Rd,Sunnyvale,19
31,2021-05-07-07:46:41,11BQWYMcd6FsfzoxFcsbLF7TyE7PNMxmnuFHaGxpUJ6wbqqiT5D,E California Ave,Sunnyvale,2
32,2021-05-07-07:11:26,11249WEJyLwoQ4KbthXcZTJ5ixvCT2o4c8YVCAJauykfqSkwkVs4,Kennedy Rd,Los Gatos,19
33,2021-05-07-07:02:29,1126m4E4uY1iDe8qRq5HbSP4x2hLGhbdfJBTNcK5qwnF9ATiZauH,Seale Ave,Palo Alto,9
34,2021-05-07-06:47:08,112cFWPhRD6kDxTA1eNK8QJ3CWH5i4ytDTRcLJ93WQzPJPpkFE3n,Chatham Ct,Mountain View,4
35,2021-05-07-06:30:12,112siDmF1oTSZGsBJDPYvSXZ5wFogM4CUsvw9EkqPNddbJfoJEP2,Easter Ave,Milpitas,25
36,2021-05-07-06:30:12,112v3EHCZrzb3rVheLsoYyiPz8WZCexzNgW325sZ1Eo8s7t1Jpsa,Lexington St,Santa Clara,6
37,2021-05-07-06:08:21,112NPL81M5k79HreKvYR4wDmjMG2bda2s4mzSp3sEjvmPoP4RhjT,Everglades Park Dr,Fremont,7
38,2021-05-07-05:58:39,1126p1sNPauKKxEVkAogk6VfEuadfVf1zzJVgUURJkgUGJw9tDvD,Menzel Pl,Santa Clara,1
39,2021-05-07-05:57:49,117oAeQVCdRWtCZU5eoDaFaVqpY8tFzbKy246ZRRWoqcARFYtLs,Monroe Dr,Mountain View,14
40,2021-05-07-05:15:21,11y592TQyELn6xx7xBXvMzMuqnCpA198ifQtWYTdirwUrMc2eYu,Potrero Dr,Newark,25
41,2021-05-07-04:45:13,116Xh4Azs55ewtYwUiUvKSRanjAAWUAwts49WUodKZMET7AioSC,Margate Ave,San Jose,12
42,2021-05-07-04:30:36,11YzVLXq5CcwhsWm8yWBRq8taPnrcwyAuu5CLycw8F3n21WNeQD,Renaissance Dr,San Jose,8
43,2021-05-07-04:15:10,112NPL81M5k79HreKvYR4wDmjMG2bda2s4mzSp3sEjvmPoP4RhjT,Everglades Park Dr,Fremont,3
44,2021-05-07-02:57:22,1125svmynCEX5229fcvxoVE4DwkXgq4rxRbmfbXFSHD5VHXnQ4Dq,Junction Ave,San Jose,7
45,2021-05-07-02:40:37,11CbV8uwQmQSXhgd1of9ThBJ4esZLJ9623mPoAZzCmiiQsVs2nE,La Miel Way,Campbell,15
46,2021-05-07-02:37:17,11E5NY9hEAovXzX5knfBRVB3sDKQiEdPLibt5gKc5UqzFjKyeZC,E Duane Ave,Sunnyvale,6
47,2021-05-07-02:11:25,112ofVwVQRCHyMjCyeXZTY28LD7NArDJ5nwz3hFQbp7EopbapbY4,Donohoe St,East Palo Alto,3
48,2021-05-07-01:58:54,11982m14iSS4CXohjbvQWvi5DwDt2AzAhto5hNpmhne8cSnWafd,Stanford Ave,Fremont,2
49,2021-05-07-01:39:05,112txR2wh5aYriMKUcURtcDDVTbwNy8iVMrTs1AQbmHFjPeuSNb,Canton Dr,Milpitas,18
50,2021-05-07-01:38:15,117oAeQVCdRWtCZU5eoDaFaVqpY8tFzbKy246ZRRWoqcARFYtLs,Monroe Dr,Mountain View,16
51,2021-05-07-01:26:41,112cFWPhRD6kDxTA1eNK8QJ3CWH5i4ytDTRcLJ93WQzPJPpkFE3n,Chatham Ct,Mountain View,5
52,2021-05-07-01:25:51,11GMLnYYv9vb33ev8VnBQTCH45qQ8YKUmjA7y6JtZ8jSn6e4U7A,Sherland Ave,Mountain View,8
53,2021-05-07-01:08:17,112VMA6mJUP9LUKadWvfRNgzZ8QTZf3Gurs4B28fXg7Xx4Tms1Qw,Vaughn Cir,Aurora,1
54,2021-05-07-01:05:44,112PPCiRTFU7oVamxLd8JjBsXpUmbC4t8v2LZAAvMjCakTfKNgVo,Acalanes Dr,Sunnyvale,13
55,2021-05-07-01:02:23,11oMjTTAdnV1BYiX6SzAeRTYWmFc9bfHcDu6bkMUjiZYzGjQr2c,Channing Ave,Palo Alto,14
56,2021-05-07-12:45:55,11y592TQyELn6xx7xBXvMzMuqnCpA198ifQtWYTdirwUrMc2eYu,Potrero Dr,Newark,18
57,2021-05-07-12:29:36,1126p1sNPauKKxEVkAogk6VfEuadfVf1zzJVgUURJkgUGJw9tDvD,Menzel Pl,Santa Clara,1
58,2021-05-07-12:16:57,11DaahkWU8uRxskuqjnvn8nTBQTCYhr3mJvv2VWrpijh3fYty24,Sunnyvale Saratoga Rd,Sunnyvale,25
59,2021-05-07-12:02:13,11DaahkWU8uRxskuqjnvn8nTBQTCYhr3mJvv2VWrpijh3fYty24,Sunnyvale Saratoga Rd,Sunnyvale,15
60,2021-05-06-11:31:19,1126m4E4uY1iDe8qRq5HbSP4x2hLGhbdfJBTNcK5qwnF9ATiZauH,Seale Ave,Palo Alto,11
61,2021-05-06-08:41:13,1124jdKvWJeBxShhSuwC135xG7jmV55iLchtQxtELj65DHwP56ZY,Murdoch Dr,Palo Alto,14
62,2021-05-06-08:39:32,11pCAdpBR6Ms5aWy5C8F3oe9qQTnmRqkGP48Ef6iVgF1LZXF9BP,San Clemente Way,Mountain View,15
63,2021-05-06-08:34:12,112DjmiN7LQLCfwbrbMGVLfHMTVG2tq9iYTkf2gdChEWkmhCooEF,Wistaria Ln,Los Altos,7
64,2021-05-06-08:17:44,11E5NY9hEAovXzX5knfBRVB3sDKQiEdPLibt5gKc5UqzFjKyeZC,E Duane Ave,Sunnyvale,2
65,2021-05-06-07:39:18,112dFRPoWZmWehmiU1cdU2jbE213RB772urDC1HxUSZfQ7KVJaN5,Weyburn Ln,San Jose,12
66,2021-05-06-07:12:32,112cFWPhRD6kDxTA1eNK8QJ3CWH5i4ytDTRcLJ93WQzPJPpkFE3n,Chatham Ct,Mountain View,2
67,2021-05-06-07:01:02,112fXRsBC9d1VYhsQJzk4ZG49Xy7dD1RKgqns7uhXwdim8xQ3rXY,Tom Blalock St,Fremont,3
68,2021-05-06-06:50:04,112MLSzB94e4561N72N86fKptz33BgU2BuhGDR1rMARE36NgPUZk,Saratoga Sunnyvale Rd,Saratoga,5
69,2021-05-06-06:27:01,112MLSzB94e4561N72N86fKptz33BgU2BuhGDR1rMARE36NgPUZk,Saratoga Sunnyvale Rd,Saratoga,5
70,2021-05-06-06:16:13,112GhVcWHvtk2FgQoqEtvRdedeBZy8JhqmCPCydXJTDksf3avXnj,Clydelle Ave,San Jose,25
71,2021-05-06-06:08:57,112LfWf61hKR2mCKbuyqt3w2UCtytbFCmo2QJ4xdACR6c768LtiR,Arlington Ln,San Jose,4
72,2021-05-06-06:00:53,11qKu26ppPWJcvu84JroLTJmDR87yA6Fyvm7rVRdHtH4ASiYEzJ,Nathan Way,Palo Alto,8
73,2021-05-06-05:09:48,11B32VPUPafE9aambb9W7WmoCLUX5xMUJPyyrj1GbSKNTSxSu3j,S 1st St,Brooklyn,25
74,2021-05-06-04:23:36,112NPL81M5k79HreKvYR4wDmjMG2bda2s4mzSp3sEjvmPoP4RhjT,Everglades Park Dr,Fremont,3
75,2021-05-06-04:22:44,112txR2wh5aYriMKUcURtcDDVTbwNy8iVMrTs1AQbmHFjPeuSNb,Canton Dr,Milpitas,25
76,2021-05-06-02:55:54,11zgXF4eLyMjL8wkajhKiCRzbStgEPbHKDfqoTjcCaU39APLGww,Iris Ave,Sunnyvale,10
77,2021-05-06-02:54:47,11MmvLcMzXtePpzW3HDTVCVZoYTaoweWdgMwYXbyYX7wmnzRyjX,Nelson Dr,Palo Alto,12
78,2021-05-06-02:54:47,11w5gMGCQUv3yPLyNaP7eA4skFGaALVEv7UXL6yBiSa7DpM9eWW,High St,Palo Alto,11
79,2021-05-06-02:54:47,112cFWPhRD6kDxTA1eNK8QJ3CWH5i4ytDTRcLJ93WQzPJPpkFE3n,Chatham Ct,Mountain View,3
80,2021-05-06-02:47:23,112cFi5netyKB499AeEGv9wTkffiKqUrwcLYGeFQev37iAnofT1D,Rogers Ave,San Jose,25
81,2021-05-06-02:47:23,112GhVcWHvtk2FgQoqEtvRdedeBZy8JhqmCPCydXJTDksf3avXnj,Clydelle Ave,San Jose,25
82,2021-05-06-02:39:28,11w5gMGCQUv3yPLyNaP7eA4skFGaALVEv7UXL6yBiSa7DpM9eWW,High St,Palo Alto,16
83,2021-05-06-02:18:07,112UhStn18m82e8QYk36bGKo5gGbbS2fCaSU91gnQSJmNjsUnEyc,Eighth Ave,Menlo Park,8
84,2021-05-06-02:07:02,1125g2dGiRxqRevEmbzQzp5DU55zKo6nREG1XxaqMcu1YfAwRro6,California Ave,Palo Alto,14
85,2021-05-06-01:45:07,112SRE8QstRYCcRMfy6dYqiGsREQvgAdr4G4BNpzBWYeUgh2QR3u,Bretmoor Way,San Jose,14
86,2021-05-06-01:15:55,1124jdKvWJeBxShhSuwC135xG7jmV55iLchtQxtELj65DHwP56ZY,Murdoch Dr,Palo Alto,12
87,2021-05-06-01:11:58,112cFWPhRD6kDxTA1eNK8QJ3CWH5i4ytDTRcLJ93WQzPJPpkFE3n,Chatham Ct,Mountain View,2
88,2021-05-06-12:45:11,116WPWTxvLyPNVmNy6KNwZ38Keq6eYxMfcRetZfGEvwxbR3NFnU,Johnson Ave,San Jose,17
89,2021-05-06-12:28:08,112fXRsBC9d1VYhsQJzk4ZG49Xy7dD1RKgqns7uhXwdim8xQ3rXY,Tom Blalock St,Fremont,2
90,2021-05-06-12:23:48,11UWXzA87N8kZ2HoP2UhNcuopRokHffkDNLbaJjjugpJB8UJmXU,Murphy Ranch Rd,Milpitas,1
91,2021-05-06-11:47:28,112BJGW9eHsm4GAXe5cSAWbFUW75adyr8Ccax22C2c7YPxgbGgeA,Via Paviso Dr,Cupertino,4
92,2021-05-06-11:24:04,11DaahkWU8uRxskuqjnvn8nTBQTCYhr3mJvv2VWrpijh3fYty24,Sunnyvale Saratoga Rd,Sunnyvale,22
93,2021-05-06-11:19:15,11zgXF4eLyMjL8wkajhKiCRzbStgEPbHKDfqoTjcCaU39APLGww,Iris Ave,Sunnyvale,15
94,2021-05-06-11:11:28,11y592TQyELn6xx7xBXvMzMuqnCpA198ifQtWYTdirwUrMc2eYu,Potrero Dr,Newark,21
95,2021-05-06-10:56:40,11wBbVe6DcrQjtsNTs2Uxu5Fp9oe7Fs7PQakBkE5RuTM9Lgwf4f,Skyway Ct,Fremont,8
96,2021-05-06-10:25:06,1126p1sNPauKKxEVkAogk6VfEuadfVf1zzJVgUURJkgUGJw9tDvD,Menzel Pl,Santa Clara,1
97,2021-05-06-08:42:21,112GhVcWHvtk2FgQoqEtvRdedeBZy8JhqmCPCydXJTDksf3avXnj,Clydelle Ave,San Jose,19
98,2021-05-06-08:08:19,112siDmF1oTSZGsBJDPYvSXZ5wFogM4CUsvw9EkqPNddbJfoJEP2,Easter Ave,Milpitas,21
99,2021-05-06-07:57:20,115GXEgbKks3m1z1DBG7rZDM7oMtNPDmky9JeETfmkj1CMibhHu,Persimmon Way,McDonough,0
100,2021-05-06-07:55:37,1126m4E4uY1iDe8qRq5HbSP4x2hLGhbdfJBTNcK5qwnF9ATiZauH,Seale Ave,Palo Alto,12
101,2021-05-06-07:54:47,11DaahkWU8uRxskuqjnvn8nTBQTCYhr3mJvv2VWrpijh3fYty24,Sunnyvale Saratoga Rd,Sunnyvale,19
102,2021-05-06-07:42:45,11s1tqYnoPpWqW4YCgRKAQvFjteyGrDidn8qAudRpbA6ehVeDSr,Pistachio Terrace,Sunnyvale,2
103,2021-05-06-07:34:25,112txR2wh5aYriMKUcURtcDDVTbwNy8iVMrTs1AQbmHFjPeuSNb,Canton Dr,Milpitas,22
104,2021-05-06-06:48:30,11VmHiMvoA1YbPHTuqqG7YQHmSAU5gZheZM83xGTbUL7tHYVC3f,Main St,Redwood City,22
105,2021-05-06-06:02:34,11mZTeDngwnBnwy8ozZHCjdu1GADLYrz6yp3suLAUGeggpDoAKY,Rogers Ave,San Jose,25
106,2021-05-06-05:53:41,112UhStn18m82e8QYk36bGKo5gGbbS2fCaSU91gnQSJmNjsUnEyc,Eighth Ave,Menlo Park,12
107,2021-05-06-05:44:30,112rjPBUSYKYkNpRyyWQAUiZMUn4L3GZ8tyTfCVXBfJAwJ7jurJp,E Evelyn Ave,Sunnyvale,3
108,2021-05-06-05:38:19,112DjmiN7LQLCfwbrbMGVLfHMTVG2tq9iYTkf2gdChEWkmhCooEF,Wistaria Ln,Los Altos,18
109,2021-05-06-05:34:58,112NPL81M5k79HreKvYR4wDmjMG2bda2s4mzSp3sEjvmPoP4RhjT,Everglades Park Dr,Fremont,10
110,2021-05-06-05:29:57,11B7Xj9fXVbFxTqST5hKrZEKsdPd1TSumSRpyadiS37AdbkjB8x,Barton Way,Menlo Park,7
111,2021-05-06-05:28:17,11wmdQxMorp1AebX2MPAQnpLZmnR7UN8NVAb3YTS8gxGXEZbZ56,Campo Vista Ln,Los Altos Hills,2
112,2021-05-06-05:24:07,112m4kK6mc9GC2J3NrcWQFSzgkv1N9HJAjDFc2Yw5igHGVzNhv5c,Woodland Ave,East Palo Alto,10
113,2021-05-06-04:25:03,112mVpZPaMTRCAPRFwQ8z3WcLGiwVqhdEnbQd7K1Dqqy9b7FM95W,Genesis Common,Fremont,25
114,2021-05-06-04:20:53,112DjmiN7LQLCfwbrbMGVLfHMTVG2tq9iYTkf2gdChEWkmhCooEF,Wistaria Ln,Los Altos,7
115,2021-05-06-03:46:58,1126UtTc11G9nfAv5cuNuqf6DHP1brtGwb4qyF7phGcgsa295Jej,Salerno Dr,Campbell,21
116,2021-05-06-03:43:18,112NPL81M5k79HreKvYR4wDmjMG2bda2s4mzSp3sEjvmPoP4RhjT,Everglades Park Dr,Fremont,6
117,2021-05-06-03:39:57,112GhVcWHvtk2FgQoqEtvRdedeBZy8JhqmCPCydXJTDksf3avXnj,Clydelle Ave,San Jose,25
118,2021-05-06-03:24:52,11DaahkWU8uRxskuqjnvn8nTBQTCYhr3mJvv2VWrpijh3fYty24,Sunnyvale Saratoga Rd,Sunnyvale,22
119,2021-05-06-03:20:25,11UQ2DLeanoZrKi43PSFv41sb87RQ7hR76MMXSoGxgBjYVoibvv,Santa Fe Terrace,Sunnyvale,8
120,2021-05-06-03:15:03,11YzVLXq5CcwhsWm8yWBRq8taPnrcwyAuu5CLycw8F3n21WNeQD,Renaissance Dr,San Jose,12
121,2021-05-06-03:08:10,1124QDrQWpf4rXALCMo88KV3GmRvf8dZa3KyJhD8P9hDKTzrkXv5,Greenfield Ave,San Mateo,25
122,2021-05-06-02:50:19,116Xh4Azs55ewtYwUiUvKSRanjAAWUAwts49WUodKZMET7AioSC,Margate Ave,San Jose,17
123,2021-05-06-02:42:56,1126p1sNPauKKxEVkAogk6VfEuadfVf1zzJVgUURJkgUGJw9tDvD,Menzel Pl,Santa Clara,1
124,2021-05-06-02:26:48,11nGsPCoTVPFRKm3dx8sNjyHMzJgQBguc3AR384PbPCDhChBBGd,Waverley St,Palo Alto,25
125,2021-05-06-01:55:46,112v3EHCZrzb3rVheLsoYyiPz8WZCexzNgW325sZ1Eo8s7t1Jpsa,Lexington St,Santa Clara,8
126,2021-05-06-01:52:36,11w5gMGCQUv3yPLyNaP7eA4skFGaALVEv7UXL6yBiSa7DpM9eWW,High St,Palo Alto,8
127,2021-05-05-11:31:50,112rjPBUSYKYkNpRyyWQAUiZMUn4L3GZ8tyTfCVXBfJAwJ7jurJp,E Evelyn Ave,Sunnyvale,2
128,2021-05-05-10:44:22,11wmdQxMorp1AebX2MPAQnpLZmnR7UN8NVAb3YTS8gxGXEZbZ56,Campo Vista Ln,Los Altos Hills,4
129,2021-05-05-10:22:20,11DaahkWU8uRxskuqjnvn8nTBQTCYhr3mJvv2VWrpijh3fYty24,Sunnyvale Saratoga Rd,Sunnyvale,15
130,2021-05-05-09:22:04,11y592TQyELn6xx7xBXvMzMuqnCpA198ifQtWYTdirwUrMc2eYu,Potrero Dr,Newark,12
131,2021-05-05-08:14:34,11oMjTTAdnV1BYiX6SzAeRTYWmFc9bfHcDu6bkMUjiZYzGjQr2c,Channing Ave,Palo Alto,18
132,2021-05-05-07:49:18,112Yj3A81fZUiC7xe6J1ZDN9tPGMf2qov2UqxP7Y5wRK6QMkyKe2,Montrose Ave,Palo Alto,13
133,2021-05-05-07:06:26,112UhStn18m82e8QYk36bGKo5gGbbS2fCaSU91gnQSJmNjsUnEyc,Eighth Ave,Menlo Park,8
134,2021-05-05-07:03:52,112cFi5netyKB499AeEGv9wTkffiKqUrwcLYGeFQev37iAnofT1D,Rogers Ave,San Jose,23
135,2021-05-05-06:51:07,11mZTeDngwnBnwy8ozZHCjdu1GADLYrz6yp3suLAUGeggpDoAKY,Rogers Ave,San Jose,25
136,2021-05-05-05:36:44,116Xh4Azs55ewtYwUiUvKSRanjAAWUAwts49WUodKZMET7AioSC,Margate Ave,San Jose,13
137,2021-05-05-05:34:44,11CbV8uwQmQSXhgd1of9ThBJ4esZLJ9623mPoAZzCmiiQsVs2nE,La Miel Way,Campbell,17
138,2021-05-05-05:16:44,11B7Xj9fXVbFxTqST5hKrZEKsdPd1TSumSRpyadiS37AdbkjB8x,Barton Way,Menlo Park,3
139,2021-05-05-04:49:43,112cFWPhRD6kDxTA1eNK8QJ3CWH5i4ytDTRcLJ93WQzPJPpkFE3n,Chatham Ct,Mountain View,2
140,2021-05-05-04:04:28,112DjmiN7LQLCfwbrbMGVLfHMTVG2tq9iYTkf2gdChEWkmhCooEF,Wistaria Ln,Los Altos,18
141,2021-05-05-04:00:04,112dFRPoWZmWehmiU1cdU2jbE213RB772urDC1HxUSZfQ7KVJaN5,Weyburn Ln,San Jose,6
142,2021-05-05-03:09:20,11YniP9EZgRmxdNy4iHEFZAWjpjvxQHc137ch4E7hU1LR5Mv7D9,Creekline Dr,Cupertino,16
143,2021-05-05-03:09:20,11E5NY9hEAovXzX5knfBRVB3sDKQiEdPLibt5gKc5UqzFjKyeZC,E Duane Ave,Sunnyvale,4
144,2021-05-05-03:05:38,11Z1dwhMZkbMn5cVX1ew4EAEkMx3CdjYAAqBDWsxiydJQzbYLzP,Lindy Pl,Cupertino,25
145,2021-05-05-12:39:21,112rjPBUSYKYkNpRyyWQAUiZMUn4L3GZ8tyTfCVXBfJAwJ7jurJp,E Evelyn Ave,Sunnyvale,1
146,2021-05-05-12:07:12,112DjmiN7LQLCfwbrbMGVLfHMTVG2tq9iYTkf2gdChEWkmhCooEF,Wistaria Ln,Los Altos,8
147,2021-05-05-11:58:52,112U9QhkyPVAsbuL4uow8yVnW2DV63Fm2Vh797VysaLR7Fj6Ps2t,Hewitt Dr,San Carlos,25
148,2021-05-05-11:17:48,11UQ2DLeanoZrKi43PSFv41sb87RQ7hR76MMXSoGxgBjYVoibvv,Santa Fe Terrace,Sunnyvale,2
149,2021-05-05-10:57:22,112m4kK6mc9GC2J3NrcWQFSzgkv1N9HJAjDFc2Yw5igHGVzNhv5c,Woodland Ave,East Palo Alto,5
150,2021-05-05-10:43:37,11wBbVe6DcrQjtsNTs2Uxu5Fp9oe7Fs7PQakBkE5RuTM9Lgwf4f,Skyway Ct,Fremont,6
151,2021-05-05-10:04:21,11DaahkWU8uRxskuqjnvn8nTBQTCYhr3mJvv2VWrpijh3fYty24,Sunnyvale Saratoga Rd,Sunnyvale,24
152,2021-05-05-10:03:31,112NPL81M5k79HreKvYR4wDmjMG2bda2s4mzSp3sEjvmPoP4RhjT,Everglades Park Dr,Fremont,7
153,2021-05-05-09:45:34,112weGi1yqSecSc7kpvTrspNZxohA4iDTxan5Vz93eqx3yQkQSaV,Valley Forge Way,Campbell,9
154,2021-05-05-09:13:02,11TCG3d9zUUohrYuDLvjikLELgNmW7Ly4UN8fx8btjTdxhyzcXW,Third Ave,Luton,0
155,2021-05-05-09:00:15,112BJGW9eHsm4GAXe5cSAWbFUW75adyr8Ccax22C2c7YPxgbGgeA,Via Paviso Dr,Cupertino,4
156,2021-05-05-09:00:15,1124jdKvWJeBxShhSuwC135xG7jmV55iLchtQxtELj65DHwP56ZY,Murdoch Dr,Palo Alto,13
157,2021-05-05-08:40:12,112UhStn18m82e8QYk36bGKo5gGbbS2fCaSU91gnQSJmNjsUnEyc,Eighth Ave,Menlo Park,9
158,2021-05-05-07:42:46,11MmvLcMzXtePpzW3HDTVCVZoYTaoweWdgMwYXbyYX7wmnzRyjX,Nelson Dr,Palo Alto,11
159,2021-05-05-07:34:11,112cFi5netyKB499AeEGv9wTkffiKqUrwcLYGeFQev37iAnofT1D,Rogers Ave,San Jose,25
160,2021-05-05-07:13:08,118u3FejHUUf76dNzJjw9RApEqVL5dV5czvHnJaBMadPX66PV2P,Millar Ave,Santa Clara,25
161,2021-05-05-06:55:24,112AXKejXp1gKdXFJYSRG1kVDR3e3ax5KoUk9SeLKJGmN1QrJ6M1,Colby Ave,Cupertino,4
162,2021-05-05-06:40:20,112NPL81M5k79HreKvYR4wDmjMG2bda2s4mzSp3sEjvmPoP4RhjT,Everglades Park Dr,Fremont,10
163,2021-05-05-06:32:00,1128scR7veTQvs7GvMW93SikHPsikz3iWotD9G14mhJmBQw8kqGh,Homer Ave,Palo Alto,14
164,2021-05-05-06:30:20,11wBbVe6DcrQjtsNTs2Uxu5Fp9oe7Fs7PQakBkE5RuTM9Lgwf4f,Skyway Ct,Fremont,11
165,2021-05-05-06:11:03,112MLSzB94e4561N72N86fKptz33BgU2BuhGDR1rMARE36NgPUZk,Saratoga Sunnyvale Rd,Saratoga,5
166,2021-05-05-05:55:55,11Z1dwhMZkbMn5cVX1ew4EAEkMx3CdjYAAqBDWsxiydJQzbYLzP,Lindy Pl,Cupertino,25
167,2021-05-05-05:02:03,11y592TQyELn6xx7xBXvMzMuqnCpA198ifQtWYTdirwUrMc2eYu,Potrero Dr,Newark,25
168,2021-05-05-04:21:17,11B7Xj9fXVbFxTqST5hKrZEKsdPd1TSumSRpyadiS37AdbkjB8x,Barton Way,Menlo Park,4
169,2021-05-05-04:15:27,11zgXF4eLyMjL8wkajhKiCRzbStgEPbHKDfqoTjcCaU39APLGww,Iris Ave,Sunnyvale,18
170,2021-05-05-03:57:16,112weGi1yqSecSc7kpvTrspNZxohA4iDTxan5Vz93eqx3yQkQSaV,Valley Forge Way,Campbell,16
171,2021-05-05-03:53:06,1126m4E4uY1iDe8qRq5HbSP4x2hLGhbdfJBTNcK5qwnF9ATiZauH,Seale Ave,Palo Alto,7
172,2021-05-05-03:52:16,112MLSzB94e4561N72N86fKptz33BgU2BuhGDR1rMARE36NgPUZk,Saratoga Sunnyvale Rd,Saratoga,4
173,2021-05-05-02:45:40,11UrWhR43WZnvyMGgWLgLphJ8Wg69gzToT8uimagS1dPcHkNusu,Sunnyvale Saratoga Rd,Sunnyvale,8
